source;target;Hierarchy
4(b);3(c);paragraph
4(b);3(c);paragraph
4(b);71;paragraph
7(g);3(b);paragraph
11(b);3(c);paragraph
12;11;paragraph
12;7;paragraph
12;7;paragraph
15;61;paragraph
17;16;paragraph
17;47;paragraph
17;19;paragraph
21;16;paragraph
24;28;paragraph
26;16;paragraph
27;59(a);paragraph
27;38(b);paragraph
28;25;paragraph
28;B73;paragraph
28;B119;paragraph
28;22;paragraph
28;25;paragraph
28;B73;paragraph
28A;59(a);paragraph
28A;B35A;paragraph
28B(a);32(a);paragraph
28C;28B(b);paragraph
28C;38(b);paragraph
28C;28;paragraph
28C;38(b);paragraph
28D;28B(b);paragraph
28D;B35B;paragraph
28D;B35C;paragraph
29(a);53;paragraph
29(c);71;paragraph
32(a)(ii);36;paragraph
32(a)(iii);37;paragraph
33;34;paragraph
33;24;paragraph
33(d);B90;paragraph
33(d);B46;paragraph
36;33;paragraph
38;47;paragraph
39;38;paragraph
41(c);87;paragraph
42(c);87;paragraph
44(a);28;paragraph
44(b);B72(b);paragraph
44(c)(i);48(a);paragraph
44(c)(ii);50(b);paragraph
44(e);B119;paragraph
45(a);28;paragraph
45(b);B104(b)(i);paragraph
45(b)(i);B115;paragraph
45(b)(ii);48;paragraph
45(c)(i);B115;paragraph
45(c)(ii);48;paragraph
45(c)(iii);50(b);paragraph
45(e);B119;paragraph
46;41;paragraph
47;16(a);paragraph
47;17;paragraph
50(a);51;paragraph
51;50(a);paragraph
52;50(a);paragraph
53(b);34;paragraph
54;53(a);paragraph
55(a)(ii);59(a);paragraph
55(b)(ii);59(a);paragraph
55(b)(iii);59(a);paragraph
55(b)(iv);56;paragraph
55(b)v;B126;paragraph
56;36;paragraph
57(a);55;paragraph
57(b);59(b);paragraph
58;57(b);paragraph
58;57(a);paragraph
62;25;paragraph
62(a)(i);62(a)(ii);paragraph
64;37;paragraph
65;38;paragraph
65(d);66A;paragraph
65A;B5;paragraph
66;44;paragraph
66(a);28;paragraph
66(b);B72(b);paragraph
66(ba);66A;paragraph
66(e);B119;paragraph
66A;B119D;paragraph
69(b);34;paragraph
70;69(a);paragraph
71(a);25;paragraph
71(b);34;paragraph
72(a)(iii);34;paragraph
72(c);53;paragraph
72(c);69;paragraph
73;72;paragraph
74(b);72;paragraph
76(b);77;paragraph
76(c);B119;paragraph
77;72;paragraph
77;76(b);paragraph
77(a);72;paragraph
77(a)(i);76(a);paragraph
77(b);72;paragraph
79;65(a);paragraph
84;103(b);paragraph
85;83;paragraph
88;89;paragraph
90;88(b);paragraph
90;89(b);paragraph
91;77;paragraph
91(a);88(b);paragraph
91(b);89(b);paragraph
92;90;paragraph
94;93;paragraph
97(c);59(a);paragraph
99(b);78;paragraph
103;100;paragraph
103(c);105(a)(i);paragraph
104;101;paragraph
105A;98;paragraph
105C;28D;paragraph
106(a);B124;paragraph
106(a)(i);B124(a);paragraph
106(a)(ii);B124(b);paragraph
106(a)(iv);B124(d);paragraph
106(b);B125;paragraph
108;107;paragraph
112;B115;paragraph
113;B135;paragraph
114;101(c);paragraph
114;103(a);paragraph
117(c)(i);B98;paragraph
118;88(b);paragraph
118;89(b);paragraph
120;36;paragraph
126;20;paragraph
129;128(a);paragraph
129;128(a);paragraph
130;100(c);paragraph
B1(f) ;B137;paragraph
B2(b);B6;paragraph
B6;8;paragraph
B6;8;paragraph
B10;11(a);paragraph
B20;B18;paragraph
B20;36;paragraph
B21;B18;paragraph
B23;B21(b);paragraph
B26(d);7(b);paragraph
B26(g);7(a);paragraph
B27(a);B28;paragraph
B27(a);3(c);paragraph
B27(b);B28;paragraph
B27(d);B12;paragraph
B27(f) ;B29;paragraph
B28;B27;paragraph
B29;7(e);paragraph
B35A;28A;paragraph
B35B;28D;paragraph
B35B(a);28B(b);paragraph
B35B(a);32(a);paragraph
B35B(b);B35A(b);paragraph
B35B(b)(i);32(a);paragraph
B35B(b)(ii);B35B(b)(i);paragraph
B35B(b)(ii);B35B(a);paragraph
B37;B41;paragraph
B43;33(b);paragraph
B44;79;paragraph
B57;B56;paragraph
B59;B51;paragraph
B61;2;paragraph
B63;34;paragraph
B65(b);34;paragraph
B65(d);11(a);paragraph
B72(a);36;paragraph
B72(b);44(b);paragraph
B72(b);36;paragraph
B72(c);36;paragraph
B72(d);36;paragraph
B72(e);88;paragraph
B72(e)(i);36;paragraph
B72(e)(iii);36;paragraph
B73;22;paragraph
B78(a);B44;paragraph
B78(a);B49;paragraph
B82;B81;paragraph
B82(a);69;paragraph
B82(b);83;paragraph
B82(c);89;paragraph
B85;B81;paragraph
B85;37;paragraph
B86;B14;paragraph
B90;120;paragraph
B94;47;paragraph
B95;38;paragraph
B95;65;paragraph
B95A;47;paragraph
B96;44(c);paragraph
B96(a);B72(c);paragraph
B96(b);B97(a);paragraph
B96(b);B72(c);paragraph
B96(c);B97(a);paragraph
B96(c);B72(c);paragraph
B96(d);B72(c);paragraph
B97(c);B96(a);paragraph
B101(b);B107;paragraph
B101(c);B107;paragraph
B102;B101;paragraph
B102;72;paragraph
B103;B101;paragraph
B104;B101;paragraph
B105;B101(a);paragraph
B105;2;paragraph
B106;B101(a);paragraph
B107;B101(c);paragraph
B108(b);B101(c);paragraph
B110;B104;paragraph
B111;B104(a);paragraph
B112;B104(b)(i);paragraph
B112;45(b);paragraph
B113;B104(b)(ii);paragraph
B113(a);45(c);paragraph
B113(b);45(c);paragraph
B113(b);B115;paragraph
B115;B116;paragraph
B115;B112;paragraph
B115;B113(b);paragraph
B116;B115;paragraph
B117;B115;paragraph
B118;B116;paragraph
B118(a);B115;paragraph
B119A;B119;paragraph
B119A;B68;paragraph
B119E;66B;paragraph
B119F(b);66(c)(ii);paragraph
B122;B121(a);paragraph
B122;B121(b);paragraph
B122;B125;paragraph
B123(a)v;B125;paragraph
B124(a)(i);51(a);paragraph
B124(a)(iv);B125;paragraph
B124(b)(i);87;paragraph
B124(b)(iii);51(b);paragraph
B126;56;paragraph
B129;13;paragraph
B130;88(b);paragraph
B131;B72(e)(i);paragraph
B132(b);81;paragraph
B132(c)(i);B72(b);paragraph
B133;88(b);paragraph
B133;B72(e)(iii);paragraph
B134;89(b);paragraph
B135;89;paragraph
B135;88;paragraph
B135;89;paragraph
B135;88(b);paragraph
B135;89(b);paragraph
B135(a)(i);88(b);paragraph
B135(a)(ii);89(b);paragraph
B136;B135(a);paragraph
C3(b);B115;paragraph
C3(b);B115;paragraph
C5;C3;paragraph
C5;C4(a);paragraph
C5(a);C6(a);paragraph
C5A;C5;paragraph
C5A(a);B115;paragraph
C9;C8;paragraph
C9A;C8;paragraph
C10;C8;paragraph
C10;22;paragraph
C11;C8;paragraph
C12;C8;paragraph
C12;C4(a);paragraph
C13;C8;paragraph
C14;C8;paragraph
C15(b);C8;paragraph
C15(b);B119;paragraph
C15A;C8;paragraph
C17;C8;paragraph
C18;C10;paragraph
C18(a);B72(e)(iii);paragraph
C18(b);91(a);paragraph
C18(b);C19(b);paragraph
C18(b)(ii);B134;paragraph
C19(a);C13;paragraph
C19(a);C13;paragraph
C19(b);91(a);paragraph
C19(b)(i);C13;paragraph
C19(b)(i);C13;paragraph
C19(b)(iii);C13;paragraph
C19(b)(iii);C13;paragraph
